20210221,4,8,1,8,6,1,2,4,4,6,9,7,8,5
20210222,5,8,2,7,5,7,8,2,1,7,1,2,6,6
20210223,7,7,1,7,3,2,7,5,2,3,1,1,5,6
20210224,4,4,7,6,7,7,5,5,4,4,2,1,7,3
20210225,3,4,1,4,8,8,6,4,3,5,1,1,8,5
20210226,2,2,1,6,7,8,4,3,2,2,1,3,8,4
20210227,5,3,3,6,5,8,3,3,2,3,2,2,8,7
20210228,6,5,2,6,5,7,4,3,2,3,3,2,7,6
20210302,7,7,1,6,5,7,3,4,3,3,2,1,8,5
20210303,5,4,6,6,5,5,3,4,3,3,4,2,7,6
20210304,7,5,3,6,4,7,3,3,4,4,2,2,8,6
20210305,7,5,2,7,4,6,5,4,3,2,3,3,8,7
20210307,6,4,1,6,3,7,5,1,4,3,3,2,7,4
20210308,6,3,5,7,6,5,6,1,2,2,8,2,7,7
20210310,6,4,3,6,5,4,4,4,2,3,3,1,6,6
20210311,6,3,1,3,7,7,7,3,6,3,2,5,7,7
20210312,6,3,2,7,4,7,7,4,3,2,2,2,7,6
20210313,6,7,2,5,5,3,2,4,5,3,7,3,7,4
20210316,5,5,3,5,5,3,6,4,2,2,2,2,7,5
20210317,6,4,4,7,3,2,3,6,3,2,2,1,7,5
20210319,6,4,2,6,4,2,3,4,3,4,2,1,7,3
20210322,6,7,3,5,4,2,3,4,2,4,2,1,7,4
20210324,4,6,2,4,6,1,3,5,3,2,2,1,8,4
20210325,4,7,3,5,5,1,2,7,3,3,3,3,7,5
20210327,6,6,3,4,5,3,4,6,3,3,2,1,8,4
20210404,6,6,3,6,6,2,2,1,2,1,4,1,6,3
